1,Matthew McCaskill,,5,261,"1
-",,,,"2
5 min","1
-","1
39 min","1
9 min","1
118 min",,,"1
-","1
70 min",
2,Brooklynn Stone,,4,185,,,,,"1
8 min",,"1
48 min","1
17 min","5
-",,"1
-",,"1
112 min",
3,Sam Beyer,,4,344,,,,,"1
9 min",,"1
148 min","2
21 min","4
-",,,,"3
106 min",
4,Patrick Boyle,,4,497,,,,,"1
30 min",,"1
185 min","1
19 min",,,,,"2
243 min",
5,Francis Boyle,,3,149,,,,,"1
36 min",,"1
85 min","1
28 min","6
-",,,,,
6,Christopher Thompson,,3,384,,,,,"1
29 min",,"5
-","1
41 min",,,,,"4
254 min",
7,AshleyLu Couch,,1,13,,,,,"1
13 min",,,,,,,,,
1,BYU Team 2,,8,1482,"4
250 min","1
-","1
150 min",,"1
60 min",,"1
216 min","1
22 min","4
-",,"2
291 min","2
188 min","2
185 min",
2,BYU Team 3,,7,867,"4
144 min",,"2
29 min",,"1
35 min",,"1
74 min","1
49 min","2
267 min",,"8
-","6
-","1
169 min",
3,BYU Team 4,,3,379,"6
-",,,,"1
113 min","4
-","1
146 min","2
100 min",,,,,,
1,We are dumb,,10,952,"2
28 min","2
-","1
45 min",,"1
7 min","4
298 min","1
33 min","2
33 min","2
86 min","1
150 min","3
53 min",,"2
39 min",
1,CUCBatKnights,,5,794,"8
284 min",,"3
-",,"1
19 min",,"1
124 min","1
30 min","4
-",,,,"1
197 min",
2,CUCBatKnightsNG,,3,366,,,,,"1
39 min",,"1
236 min","1
91 min",,,,,,
3,CUCBatSamurais,,2,358,,,,,"5
133 min",,,"3
105 min",,,,,,
4,CUCBatImmortals,,1,253,"1
-",,,"1
-","4
193 min",,,"10
-","1
-",,,,,
1,Nibble Nibblers,,5,1096,"9
262 min",,,,"1
9 min",,"7
153 min","2
21 min","3
-","4
291 min",,,"7
-",
2,Int. Coders plus Jacob,,3,257,,,,,"1
30 min",,"1
149 min","1
78 min","3
-",,,,,
3,CoC Crew,,2,120,,,"10
-",,"1
46 min",,,"1
74 min","6
-",,,,,
1,Dunder Mifflin Scranton,,9,1436,"4
106 min",,"8
-",,"1
19 min","3
-","1
142 min","1
24 min","2
60 min","5
174 min","12
267 min","3
186 min","1
38 min",
2,NaN2022,,4,233,"14
-",,,,"1
18 min",,"1
147 min","1
27 min","11
-",,"6
-",,"1
41 min",
3,ggdG:x,,4,309,"2
-",,,,"1
9 min","2
-","2
136 min","1
17 min","11
-",,"18
-",,"1
127 min",
4,Sticky Fingers,,3,440,"8
-",,,,"1
66 min",,"2
-","1
51 min",,,,"5
-","3
283 min",
5,Queens In STEM,,2,348,,,,,"5
142 min",,,"2
106 min",,,,,,
6,Team Blue,,2,387,,,,,"3
108 min",,,"2
219 min","5
-",,,,,
1,DPU 1,,6,635,"3
239 min",,"3
-",,"1
14 min","1
-","2
48 min","1
26 min",,"4
-","4
64 min","1
-","1
124 min",
2,DPU 2,,4,440,"16
-",,"1
-",,"2
59 min",,"3
98 min","2
67 min",,,"17
-",,"2
116 min",
3,DPU 3,,3,401,"7
-",,"10
-",,"1
23 min",,"5
151 min","5
67 min",,,"3
-",,,
1,Dragons 2,,7,1068,"3
73 min",,,,"2
80 min",,"1
174 min","1
87 min","1
-","3
-","1
155 min","1
233 min","1
206 min",
2,Dragons 1,,3,575,"26
-",,,,"6
78 min",,"3
238 min","1
119 min","6
-",,"1
-",,,
3,Dragons 3,,3,624,"9
292 min",,,,"2
38 min",,,"2
94 min","5
-",,"1
-","2
-",,
1,team 3,,9,1034,"3
39 min",,"2
57 min",,"1
60 min",,"1
91 min","1
2 min","5
156 min","3
237 min","1
113 min","3
-","2
79 min",
2,team 2,,7,795,"3
162 min",,"5
230 min",,"1
7 min",,"1
71 min","1
12 min",,,"1
103 min",,"3
50 min",
3,team 4,,6,703,"3
265 min",,"3
139 min",,"1
12 min",,"1
166 min","1
7 min",,,,,"1
34 min",
4,team 5,,6,812,"5
282 min",,"2
192 min",,"1
13 min",,"3
58 min","1
8 min",,,"6
-",,"2
99 min",
5,team 10,,5,365,,,"2
40 min",,"2
16 min",,"1
135 min","1
23 min",,,"2
-",,"2
91 min",
6,team 7,,5,681,,,"1
266 min",,"2
37 min",,"1
193 min","1
25 min",,,"1
-",,"1
140 min",
7,team 9,,4,611,,,"10
160 min",,"1
15 min",,"2
205 min","1
31 min",,,"3
-",,"4
-",
8,team 8,,2,249,"4
-","1
-","9
-",,"6
32 min",,"6
-","4
57 min",,,,,,
9,team 6,,2,380,,,,,"1
169 min",,,"1
211 min",,,,,,
10,team 11,,1,216,,,,,"3
176 min",,,"5
-",,,,,,
1,Julian,,7,620,,,,,"1
20 min",,"1
46 min","1
50 min","1
124 min","1
198 min","1
98 min","2
-","1
84 min",
2,Alexandru,,7,766,"4
111 min",,"3
47 min",,"1
23 min",,"1
131 min","1
29 min",,"5
-","1
151 min",,"1
174 min",
3,Carol,,3,175,,,"4
-",,"1
46 min",,"1
89 min","1
40 min",,,,,,
4,Samir,,3,377,,,,,"1
96 min",,"1
172 min","1
109 min",,,,,,
5,Cashin,,2,114,,,"2
-",,"1
60 min",,,"1
54 min",,,,,,
6,Joseph,,1,184,,,,,"3
144 min",,,"4
-",,,,,,
1,Bitmasks,,6,645,"2
-",,"2
-",,"1
21 min",,"1
45 min","1
24 min","1
221 min",,"5
149 min",,"3
65 min",
1,Nebula,,5,308,,,"1
-",,"1
5 min",,"1
75 min","1
11 min",,,"3
127 min",,"1
50 min",
2,FIU-L,,4,489,,,,,"1
15 min",,"2
119 min","1
53 min","1
-",,,,"5
202 min",
3,NBFIU,,3,259,,,,,"1
13 min",,"2
203 min","1
23 min","1
-",,,,,
4,RustyProgrammer,,2,82,,,,,"2
27 min",,"8
-","1
35 min",,,,,,
5,Daniela Alonso,,2,135,,,,,"1
94 min",,,"1
41 min",,,,,,
6,xXHeapifyXx,,2,284,,,,,"2
139 min",,,"1
125 min",,,,,,
7,AleVeccFIU,,2,318,"1
-",,,,"1
95 min",,,"5
143 min","3
-",,,,,
8,Team-BSTR,,2,490,,,,,"1
238 min",,,"1
252 min",,,,,,
1,Micro-Blizzard,,13,1811,"5
92 min","3
286 min","2
44 min","4
262 min","1
5 min","1
198 min","1
27 min","1
9 min","9
187 min","3
96 min","1
21 min","2
154 min","1
10 min",
2,smax,,11,1038,"3
118 min",,"1
18 min",,"1
7 min","5
170 min","1
49 min","1
10 min","2
90 min","2
215 min","1
38 min","2
114 min","1
29 min",
3,arvindr9,,10,1344,"3
253 min",,"2
50 min",,"1
4 min",,"1
63 min","1
6 min","2
135 min","3
201 min","1
131 min","4
281 min","1
40 min",
4,!!,,9,882,"2
143 min",,"3
96 min",,"1
5 min",,"1
56 min","1
8 min","3
112 min","1
231 min","3
30 min",,"2
41 min",
5,MN,,9,1044,"2
74 min",,"2
139 min",,"1
29 min",,"1
93 min","1
34 min","1
180 min","1
216 min","2
157 min","2
-","1
62 min",
6,Team Jerry,,9,1428,"11
207 min",,"1
60 min","1
-","1
20 min",,"2
74 min","1
23 min","14
168 min","1
269 min","3
53 min",,"1
34 min",
7,Korea L2K,,8,901,"1
157 min",,"1
59 min",,"1
60 min",,"1
60 min","1
60 min","2
293 min",,"1
83 min",,"1
109 min",
